dataset,case_label,kp_case,ankle_kp,ankle_kd,diag_csv,step_index,touchdown_side,phase,role,side,start_time_sec,end_time_sec,duration_sec,sample_count,start_event_side,end_event_side,joint,target_direction_change_rate_hz,joint_direction_change_rate_hz,target_extrema_rate_hz,joint_extrema_rate_hz,target_dominant_freq_hz,joint_dominant_freq_hz,target_range_rad,joint_range_rad,target_path_rad,joint_path_rad,target_path_rate_radps,joint_path_rate_radps,tracking_err_rms_rad
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,4,right,complete_swing,swing_leg,right,1778046114.7019968,1778046115.0719929,0.3699960708618164,38,left,right,hip_pitch,24.324582634179535,2.702731403797726,24.324582634179535,2.702731403797726,10.526427572685881,2.6316068931714702,0.8071630000000001,0.21457800000000005,2.396561,0.38580700000000007,6.477260675816883,1.0427326947049895,0.225266613584764
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,4,right,complete_swing,swing_leg,right,1778046114.7019968,1778046115.0719929,0.3699960708618164,38,left,right,hip_roll,29.730045441774987,8.108194211393178,24.324582634179535,5.405462807595452,2.6316068931714702,2.6316068931714702,1.58727,0.10396999999999999,3.141884,0.1836867,8.491668553889616,0.4964558125499718,0.6717568105518888
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,4,right,complete_support,support_leg,right,1778046115.0719929,1778046115.4221342,0.3501412868499756,36,right,left,ankle_pitch,14.279949802498844,8.567969881499307,11.423959841999075,8.567969881499307,2.776656906041442,2.776656906041442,0.744953,0.13176699999999997,1.152835,0.21858399999999995,3.292485186112751,0.6242737095258813,0.3858570371635847
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,4,right,complete_support,support_leg,right,1778046115.0719929,1778046115.4221342,0.3501412868499756,36,right,left,ankle_roll,22.84791968399815,14.279949802498844,17.135939762998614,8.567969881499307,2.776656906041442,2.776656906041442,0.37354719999999997,0.1165791,0.642902136,0.27419298000000003,1.836122045999857,0.783092398119514,0.17068219484488426
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,4,right,complete_support,support_leg,right,1778046115.0719929,1778046115.4221342,0.3501412868499756,36,right,left,knee_pitch,17.135939762998614,2.8559899604997687,17.135939762998614,0.0,2.776656906041442,2.776656906041442,0.913213,0.42807100000000003,1.3740750000000004,0.47976300000000005,3.924344404973721,1.3701983114192506,0.2873853648734957
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,4,right,complete_support,support_leg,right,1778046115.0719929,1778046115.4221342,0.3501412868499756,36,right,left,hip_pitch,28.55989960499769,2.8559899604997687,25.70390964449792,2.8559899604997687,2.776656906041442,2.776656906041442,0.9628544099999999,0.28067800000000004,1.66058142,0.47935700000000003,4.74260386411245,1.3690387794952878,0.33997081208269136
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,4,right,complete_support,support_leg,right,1778046115.0719929,1778046115.4221342,0.3501412868499756,36,right,left,hip_roll,19.99192972349838,8.567969881499307,17.135939762998614,2.8559899604997687,2.776656906041442,2.776656906041442,0.89063,0.109348,1.8657964,0.18436260000000002,5.328695786736611,0.5265377346916347,0.390650576055853
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,5,left,complete_swing,swing_leg,left,1778046115.0719929,1778046115.4221342,0.3501412868499756,36,right,left,ankle_pitch,11.423959841999075,11.423959841999075,8.567969881499307,8.567969881499307,2.776656906041442,2.776656906041442,0.24021499999999998,0.203679,0.4808909999999999,0.363466,1.373419868094694,1.038055246983009,0.15093363516073324
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,5,left,complete_swing,swing_leg,left,1778046115.0719929,1778046115.4221342,0.3501412868499756,36,right,left,ankle_roll,28.55989960499769,11.423959841999075,28.55989960499769,5.711979920999537,2.776656906041442,2.776656906041442,0.5080989,0.1533736,0.810012002,0.22342426,2.3133861455963185,0.6380974434920901,0.20493260568519908
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,5,left,complete_swing,swing_leg,left,1778046115.0719929,1778046115.4221342,0.3501412868499756,36,right,left,knee_pitch,25.70390964449792,5.711979920999537,25.70390964449792,5.711979920999537,2.776656906041442,2.776656906041442,0.742037,0.5341940000000001,1.077452,0.6030899999999999,3.077192094920397,1.7224189852778053,0.31250188775994264
