kp_case,dataset,phase,role,joint,case_count,curve_count,mean_duration_sec,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
kp40_kd0.8,real,complete_support,support_leg,ankle_pitch,1,6,0.3149833679199219,14.744542568816366,8.84108161980504,12.359634287327856,5.960958891397419,3.807335320897216,3.807335320897216,0.4630393666666666,0.2573203,4.094432248148437,1.6291598463503922,0.33683700747608886
kp40_kd0.8,real,complete_support,support_leg,ankle_roll,1,6,0.3149833679199219,34.636268657010966,13.091771112946669,34.636268657010966,11.035940109985132,3.3022030418938826,3.3022030418938826,0.6567987833333333,0.392316605,5.069625893081425,2.7574899419860173,0.24948315308474064
kp40_kd0.8,real,complete_support,support_leg,hip_pitch,1,6,0.3149833679199219,45.19621890803395,3.905127888435881,45.19621890803395,1.8918009837533294,4.344089458911842,3.3022030418938826,1.1180340833333333,0.18481533333333333,14.008445452681002,0.9094070653503695,0.3347670040525261
kp40_kd0.8,real,complete_support,support_leg,hip_roll,1,6,0.3149833679199219,26.514581240202975,8.215526767450159,23.1128784535387,3.8546081092473305,3.3022030418938826,3.3022030418938826,1.5564876666666667,0.12019558333333334,14.912983641951065,0.5188111287932539,0.6880567668529415
kp40_kd0.8,real,complete_support,support_leg,knee_pitch,1,6,0.3149833679199219,33.493795835907626,2.863292562991506,33.493795835907626,2.446724816545086,3.807335320897216,3.3022030418938826,0.8196054999999999,0.3381521666666667,5.408423270129956,1.663949661221893,0.19815073565483035
kp40_kd0.8,real,complete_swing,swing_leg,ankle_pitch,1,5,0.31402926445007323,32.122796282975024,12.248732880608665,29.655799079421183,11.748851584872963,3.8438056280606205,3.3561165590501774,0.39356739999999996,0.30974394,3.273275055460507,1.6624247770205631,0.12397274588434845
kp40_kd0.8,real,complete_swing,swing_leg,ankle_roll,1,5,0.31402926445007323,32.69708058310364,12.126264722423477,32.19719928736794,12.126264722423477,4.467163285293103,5.463743610657096,0.39339646,0.43098456,2.367588572254427,4.2614703695273315,0.16180122597061763
kp40_kd0.8,real,complete_swing,swing_leg,hip_pitch,1,5,0.31402926445007323,38.135259643143826,5.567371389049503,38.135259643143826,4.5271812610511715,3.3561165590501774,3.3561165590501774,1.1260238839999999,0.17142500000000002,12.093322749688136,0.8177775059391881,0.31768030097111094
kp40_kd0.8,real,complete_swing,swing_leg,hip_roll,1,5,0.31402926445007323,30.346430396792435,9.889475979903887,27.03607908829011,5.132086257818459,3.3561165590501774,3.3561165590501774,0.9473862000000001,0.052348046,7.178987898318316,0.19849434744346112,0.2294301712429831
kp40_kd0.8,real,complete_swing,swing_leg,knee_pitch,1,5,0.31402926445007323,33.96354188218608,2.3105887170309183,33.96354188218608,2.3105887170309183,3.3561165590501774,3.3561165590501774,1.0177296,0.7288045999999999,5.8249986295478475,3.955781123264773,0.44229744223427786
kp50_kd0.8,sim,complete_support,support_leg,ankle_pitch,1,6,0.34885509808858234,15.673466682410057,10.996157122301346,11.731552939998053,10.086533434759557,3.2498333594989277,4.150739893101453,0.7282669999999999,0.14642983333333334,3.777572036588475,1.0380885363276977,0.3600247944119803
kp50_kd0.8,sim,complete_support,support_leg,ankle_roll,1,6,0.34885509808858234,23.824782129442298,13.357770223002502,21.992295847877358,10.014197694486006,2.7993890424559367,2.7993890424559367,0.37641491,0.19507222166666668,1.6500661525733886,0.8716091208818771,0.11171932890092849
kp50_kd0.8,sim,complete_support,support_leg,hip_pitch,1,6,0.34885509808858234,32.66489749179768,2.8805452481621585,32.201922435889266,1.9546135330706749,2.7993890424559367,2.7993890424559367,0.7944145666666667,0.281122,4.156033891603148,1.2041582776653215,0.2726812346210335
