dataset,case_label,diag_csv,step_index,touchdown_side,window,role,joint,phase_bin,norm_phase,pos_target_rad,joint_pos_rad
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,17,0.85,0.8545054000000001,1.037694
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,18,0.9,0.7450414,1.1265180000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,19,0.95,0.6380382000000001,1.1971159999999998
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,20,1.0,0.53293,1.24878
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,0,0.0,-0.41,-0.271518
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,1,0.05,-0.3289436,-0.27694240000000003
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,2,0.1,-0.201425,-0.280227
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,3,0.15,-0.1777274,-0.2836174
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,4,0.2,-0.12302431999999999,-0.2832492
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,5,0.25,-0.0431845,-0.282039
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,6,0.3,0.11877903999999995,-0.28331080000000003
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,7,0.35,0.30608399999999997,-0.284156
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,8,0.4,0.35,-0.28415920000000006
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,9,0.45,0.06027339999999988,-0.28127840000000004
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,10,0.5,-0.334559,-0.280096
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,11,0.55,-0.3572860000000002,-0.28093080000000004
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,12,0.6,-0.39884000000000003,-0.27972680000000005
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,13,0.65,-0.3243464,-0.2764212
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,14,0.7,-0.34120839999999997,-0.2776664
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,15,0.75,-0.354007,-0.284291
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,16,0.8,-0.3876556,-0.2921254
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,17,0.85,-0.41,-0.3015836
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,18,0.9,-0.41,-0.3097844
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,19,0.95,-0.39040920000000007,-0.32261019999999996
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_pitch,20,1.0,-0.308386,-0.333765
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,ankle_roll,0,0.0,-0.348423,-0.0510827
