dataset,phase,role,step_index,joint,case_count,curve_count,mean_duration_sec,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
sim,complete_support,support_leg,3,ankle_pitch,4,4,0.38000214099884033,14.859898410617443,10.042068062787889,11.639144208472374,8.67193596587554,2.5835479155059744,2.5835479155059744,0.715659,0.1636865,3.8271099857599524,1.0543054056032912,0.36539405405820297
sim,complete_support,support_leg,3,ankle_roll,4,4,0.38000214099884033,25.450362861610962,9.769755708226166,22.01564942182335,6.695054363838381,2.5835479155059744,2.5835479155059744,0.42229594000000004,0.1996942845,1.5723447563944126,0.8617011796922027,0.1505321119349527
sim,complete_support,support_leg,3,hip_pitch,4,4,0.38000214099884033,30.547314113825493,3.220754202145071,30.547314113825493,1.8506221052327232,2.5835479155059744,2.5835479155059744,0.73846145,0.26346424999999996,3.9052294724371777,1.0591956064026582,0.2287042136087161
sim,complete_support,support_leg,3,hip_roll,4,4,0.38000214099884033,22.70191250167822,4.357133700462029,20.049348048691627,3.78894395130355,2.5835479155059744,2.5835479155059744,1.1000045,0.164757275,5.692000682945621,0.7828418913811653,0.4270835092618109
sim,complete_support,support_leg,3,knee_pitch,4,4,0.38000214099884033,10.190865633687995,5.305128905973184,10.190865633687995,2.7600575547775446,2.5835479155059744,2.5835479155059744,1.05704825,0.48716050000000005,4.142604043143879,1.4075444666456853,0.26211197518523577
sim,complete_support,support_leg,4,ankle_pitch,4,4,0.3450316786766052,21.00325796834833,12.397609868696714,16.670607745713912,11.703173040317797,2.821889924931588,2.821889924931588,0.74534475,0.144787,3.224913015709206,0.9886439888779959,0.4747338633234915
sim,complete_support,support_leg,4,ankle_roll,4,4,0.3450316786766052,27.371523754613875,14.520041677325516,23.840334174021503,9.493278079771896,2.821889924931588,2.821889924931588,0.3789388075,0.10708178,1.7765188282235502,0.67416973777682,0.19172760406722034
sim,complete_support,support_leg,4,hip_pitch,4,4,0.3450316786766052,26.068819435934284,2.904008335465103,25.35482194580934,2.904008335465103,2.821889924931588,2.821889924931588,0.9142663525,0.28716625,4.544055765754801,1.4169407269714496,0.3329194742051902
sim,complete_support,support_leg,4,hip_roll,4,4,0.3450316786766052,20.82897857143356,5.894509462468161,17.924970235968456,2.9709404652570326,2.821889924931588,2.821889924931588,0.9060935,0.11543418750000001,5.288908999577848,0.5960905745956652,0.37588521092842453
sim,complete_support,support_leg,4,knee_pitch,4,4,0.3450316786766052,15.948360111035115,3.59844516384402,15.948360111035115,0.6944368283789172,2.821889924931588,2.821889924931588,0.983797,0.45606175000000004,4.370477837811652,1.413311201849975,0.2738961070031675
sim,complete_support,support_leg,5,ankle_pitch,4,4,0.35746872425079346,17.739132116497238,10.456730886105412,13.472485648805627,7.788631741259935,2.732394874550878,4.066208748287173,0.7391512499999999,0.138786,3.8244496548353384,1.0767708861302105,0.42213129462330706
sim,complete_support,support_leg,5,ankle_roll,4,4,0.35746872425079346,26.531397165415168,11.845129797825223,23.84526928347157,9.104389448581843,2.732394874550878,3.489965710259915,0.43829285,0.2313794825,1.4746364089693453,1.0879154164392029,0.1669529291519374
sim,complete_support,support_leg,5,hip_pitch,4,4,0.35746872425079346,36.866340748872844,2.809493952607589,35.39063324068528,1.4571525150840205,2.732394874550878,2.732394874550878,0.700473825,0.25950225,3.780319535201902,1.1493115300763603,0.2449220751848221
sim,complete_support,support_leg,5,hip_roll,4,4,0.35746872425079346,22.81834472982948,4.371983801257478,20.008850777221888,4.371983801257478,2.732394874550878,2.732394874550878,0.9144172500000001,0.142553425,5.1598395825946515,0.743797162796239,0.3649966578458812
sim,complete_support,support_leg,5,knee_pitch,4,4,0.35746872425079346,12.484979914388056,4.8377429808902335,12.484979914388056,2.0282490282826444,2.732394874550878,2.732394874550878,1.04673075,0.47742049999999997,4.377593452549427,1.4150648132716621,0.2485863731582778
sim,complete_support,support_leg,6,ankle_pitch,4,4,0.35829776525497437,22.979035429042682,9.052992911799755,21.58581791615975,8.383019964349685,3.4361619320858394,2.7218509926243577,0.72649075,0.155405,3.6833249642803003,0.7564833146136325,0.33674024688237836
sim,complete_support,support_leg,6,ankle_roll,4,4,0.35829776525497437,25.173356315516756,12.598608293211381,22.440192907733685,11.19331526102155,2.7218509926243577,2.7218509926243577,0.37498961,0.109247975,1.6559240017079255,0.6634650726196595,0.19404174972794452
sim,complete_support,support_leg,6,hip_pitch,4,4,0.35829776525497437,29.89228752703624,2.798365161218862,29.89228752703624,2.798365161218862,2.7218509926243577,2.7218509926243577,0.9425375500000001,0.26820175,5.137244310404348,1.2440956992944532,0.31191960853693723
sim,complete_support,support_leg,6,hip_roll,4,4,0.35829776525497437,24.977460287501586,7.079300627370247,21.521197698139552,2.798365161218862,2.7218509926243577,2.7218509926243577,0.93340025,0.12204142750000001,4.988516916404803,0.5760728891858438,0.39728157169101463
sim,complete_support,support_leg,6,knee_pitch,4,4,0.35829776525497437,18.272761272245695,3.456262589362032,16.867613623909765,0.6578974281431696,2.7218509926243577,2.7218509926243577,0.9652720000000001,0.45217874999999996,4.11929126832833,1.3922889795021522,0.2787792265987211
