dataset,case_label,side,axis,phase,n_samples,duration_sec,pos_peak1_hz,pos_peak1_amp,pos_peak2_hz,pos_peak2_amp,pos_peak3_hz,pos_peak3_amp,pos_energy_2-4Hz,pos_energy_4-8Hz,pos_energy_8-15Hz,pos_energy_15-20Hz,pos_osc_rad,des_peak1_hz,des_peak1_amp,des_peak2_hz,des_peak2_amp,des_peak3_hz,des_peak3_amp,des_energy_2-4Hz,des_energy_4-8Hz,des_energy_8-15Hz,des_energy_15-20Hz,des_osc_rad,err_peak1_hz,err_peak1_amp,err_peak2_hz,err_peak2_amp,err_peak3_hz,err_peak3_amp,err_energy_2-4Hz,err_energy_4-8Hz,err_energy_8-15Hz,err_energy_15-20Hz,err_osc_rad
real,40/0.8 all_ankles,right,roll,all,930,9.3,5.054,0.0239,5.162,0.02354,4.947,0.02198,0.1235,0.5672,0.005,0.0012,0.12157,1.398,0.07434,1.506,0.06797,2.903,0.03293,0.1121,0.092,0.0164,0.0022,0.15325,1.398,0.06948,1.506,0.05988,4.409,0.03628,0.1477,0.4019,0.0212,0.0021,0.19395
real,40/0.8 all_ankles,right,roll,swing,234,2.34,4.274,0.07225,8.548,0.06427,4.701,0.06319,0.1536,0.3791,0.3611,0.0336,0.20605,2.137,0.08712,1.71,0.07086,2.992,0.03295,0.2405,0.0459,0.0324,0.008,0.17214,8.548,0.07475,4.274,0.07306,2.137,0.06942,0.1731,0.2704,0.2541,0.0239,0.26368
real,40/0.8 all_ankles,right,roll,stance,696,6.96,8.621,0.00267,8.765,0.00266,8.478,0.00264,0.0066,0.0097,0.0287,0.0035,0.07172,1.437,0.07938,1.581,0.04361,1.293,0.03929,0.1312,0.1304,0.0118,0.002,0.14318,1.437,0.07902,1.581,0.04491,1.293,0.03827,0.1487,0.1466,0.0209,0.0048,0.15666
sim,2504,left,pitch,all,1488,14.88,1.411,0.03287,1.479,0.02416,2.823,0.01588,0.0048,0.0027,0.0006,0.0002,0.06929,1.411,0.1101,2.89,0.0806,2.823,0.07963,0.1624,0.0525,0.0198,0.0072,0.22949,1.411,0.12911,2.89,0.09458,2.823,0.09417,0.2641,0.0878,0.031,0.0078,0.2762
sim,2504,left,pitch,swing,801,8.01,2.622,0.03449,2.497,0.02956,2.747,0.01798,0.026,0.0025,0.0008,0.0004,0.06711,2.622,0.10584,2.497,0.09261,2.747,0.05614,0.371,0.1523,0.0381,0.0193,0.23601,2.622,0.136,2.497,0.11782,2.747,0.07197,0.4983,0.149,0.0399,0.0166,0.28628
sim,2504,left,pitch,stance,687,6.87,3.202,0.01532,6.405,0.01311,6.259,0.0119,0.0042,0.0066,0.0027,0.0012,0.07099,3.202,0.0787,3.348,0.04957,6.405,0.04921,0.1178,0.0988,0.0851,0.0201,0.20873,3.202,0.08072,6.405,0.06188,6.259,0.05537,0.2246,0.292,0.2184,0.0582,0.25603
sim,2504,left,roll,all,1488,14.88,2.89,0.01345,2.823,0.01317,1.411,0.01062,0.4374,0.2041,0.0672,0.0034,0.03433,1.411,0.12589,1.479,0.09006,1.344,0.04182,0.029,0.0186,0.0096,0.0023,0.2008,1.411,0.12171,1.479,0.08655,1.344,0.04055,0.0453,0.0131,0.0116,0.0023,0.19725
sim,2504,left,roll,swing,801,8.01,2.622,0.01313,2.497,0.01129,5.119,0.00926,0.3197,0.3298,0.0834,0.0486,0.03668,2.622,0.1136,2.497,0.09663,2.747,0.05108,0.2878,0.011,0.0132,0.0045,0.20526,2.622,0.10889,2.497,0.09341,2.747,0.05091,0.2967,0.0083,0.0129,0.0036,0.19719
sim,2504,left,roll,stance,687,6.87,6.405,0.00539,6.55,0.00511,6.259,0.00506,0.0909,0.2887,0.339,0.1175,0.02946,3.202,0.08212,3.057,0.05865,3.348,0.05207,0.3718,0.1413,0.0256,0.0139,0.17922,3.202,0.08004,3.057,0.05609,3.348,0.05003,0.332,0.1604,0.0425,0.0191,0.18553
sim,2504,right,pitch,all,1488,14.88,1.412,0.04301,1.48,0.03014,1.345,0.01555,0.0019,0.0025,0.0004,0.0001,0.06959,1.412,0.09546,1.48,0.06522,2.825,0.05292,0.1471,0.0857,0.0361,0.0038,0.20678,1.412,0.07409,1.48,0.04858,2.825,0.04742,0.0813,0.0613,0.0247,0.0032,0.19912
