dataset,case_label,diag_csv,step_index,touchdown_side,window,side,axis,cycle_index,lag_ms,target_amplitude_rad,joint_amplitude_rad,amplitude_gain,segment_duration_sec,equivalent_frequency_hz,segment_tracking_err_rms_rad,segment_target_path_rad,segment_joint_path_rad
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,left,pitch,1,49.997568130493164,0.10003800000000002,0.0140393,0.14033967092504845,0.029940128326416016,16.69999522209304,0.17109881954447406,0.1675948,0.0140393
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,left,pitch,2,49.997568130493164,0.10342000000000001,0.044567499999999996,0.43093695610133426,0.060012102127075195,8.3316528213135,0.3170435577952432,0.35757999999999995,0.044567499999999996
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,left,pitch,3,49.997568130493164,0.384761,0.1293144,0.33609019625169906,0.050004005432128906,9.999198977743024,0.12951073519602535,0.420979,0.1293144
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,left,pitch,4,49.997568130493164,0.0750371,0.028100999999999987,0.37449474993036763,0.09986352920532227,5.006832864598503,0.23600478905489186,0.28095709999999996,0.10615900000000006
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,right,roll,1,9.999513626098633,0.08073469999999999,0.0188088,0.2329704575603799,0.04996752738952637,10.006498742717543,0.03912296317808847,0.08680469999999998,0.0188088
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,right,roll,2,9.999513626098633,0.004823499999999998,0.0010087999999999972,nan,0.019995689392089844,25.005389421471836,0.04924061619371418,0.008927899999999999,0.0010087999999999972
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,right,roll,3,9.999513626098633,0.015957,0.013252400000000001,0.8305069875289842,0.02013397216796875,24.833649109511178,0.046044432023933865,0.015957,0.013252400000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,right,roll,4,9.999513626098633,0.020138100000000003,0.0663773,3.2961053922664,0.04989457130432129,10.021130293922292,0.03882549659898548,0.02331269999999999,0.0663773
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,right,roll,5,9.999513626098633,0.0345276,0.0436065,1.2629461648072846,0.039699554443359375,12.594599788603825,0.006572349274194123,0.0504846,0.0436065
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,right,roll,6,9.999513626098633,0.032449500000000006,0.011289000000000007,0.34789442056117986,0.0200655460357666,24.918335095828233,0.013937679899466766,0.03571909999999999,0.011289000000000007
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,right,roll,7,9.999513626098633,0.1664148,0.12302807,0.7392856284417011,0.04009842872619629,12.469316526444095,0.08256329551382127,0.3330508,0.14430407
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,right,roll,8,9.999513626098633,0.15607179999999998,0.07234813,0.4635567091556579,0.020094633102416992,24.882265700081867,0.13949535586272266,0.4764762,0.07234813
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,right,roll,9,9.999513626098633,0.1888,0.020442100000000005,0.10827383474576274,0.020010709762573242,24.986619961635153,0.23685684150297762,0.1888,0.020442100000000005
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,right,pitch,1,9.999513626098633,0.04413999999999996,0.057759000000000005,1.3085410058903502,0.10006999969482422,4.996502463523649,0.07712049517004363,0.14209399999999994,0.057759000000000005
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,right,pitch,2,9.999513626098633,0.15255899999999997,0.034356,0.22519812007157888,0.04989457130432129,10.021130293922292,0.11589228245875563,0.154205,0.034356
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,right,pitch,3,9.999513626098633,0.014314999999999994,0.00875300000000001,0.6114565141460017,0.019814252853393555,25.23436052318096,0.17006469226444387,0.067603,0.00875300000000001
